number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,3,5,0,10.138839966271993,9.946255742496334,10.331424190047652
8,2000,0.5,5,3,1,16.045917124039043,15.717706767537729,16.374127480540356
8,2000,0.75,2,6,2,15.491221994598664,14.692511937780358,16.28993205141697
8,2000,1.0,2,6,3,17.589571648511107,16.903951077700903,18.275192219321312
8,2000,1.25,2,6,4,20.01187028292443,18.760114958337866,21.263625607510996
8,2000,1.5,0,8,5,15.989223873661754,15.448167663771956,16.530280083551553
8,2000,1.75,0,8,6,17.895689645682246,16.493512234274203,19.29786705709029
8,2000,2.0,0,8,7,20.1366183021821,18.51367285328879,21.75956375107541
8,2000,2.25,0,8,8,22.61376388736457,20.566615285189187,24.660912489539953
8,2000,2.5,0,8,9,22.854089159903516,20.790642856349105,24.917535463457927
8,2000,2.75,0,8,10,22.773980514754,20.713805843588812,24.83415518591919
8,2000,3.0,0,8,11,24.335694478053455,22.09960354130358,26.57178541480333
