WE1,WF1,WE2,WF2,impressions,demand_factor,direction_400,direction_800
8,0,7,1,2000,0.25,f,f
7,1,6,2,2000,0.25,f,f
6,2,5,3,2000,0.25,f,f
5,3,4,4,2000,0.25,f,f
4,4,3,5,2000,0.25,b,f
3,5,2,6,2000,0.25,f,f
2,6,1,7,2000,0.25,b,f
1,7,0,8,2000,0.25,f,f
8,0,7,1,2000,0.5,b,b
7,1,6,2,2000,0.5,f,f
6,2,5,3,2000,0.5,f,f
5,3,4,4,2000,0.5,f,f
4,4,3,5,2000,0.5,f,f
3,5,2,6,2000,0.5,f,f
2,6,1,7,2000,0.5,f,f
1,7,0,8,2000,0.5,f,b
8,0,7,1,2000,0.75,b,f
7,1,6,2,2000,0.75,f,f
6,2,5,3,2000,0.75,f,f
5,3,4,4,2000,0.75,f,f
4,4,3,5,2000,0.75,f,f
3,5,2,6,2000,0.75,f,f
2,6,1,7,2000,0.75,f,f
1,7,0,8,2000,0.75,b,f
8,0,7,1,2000,1.0,f,f
7,1,6,2,2000,1.0,f,f
6,2,5,3,2000,1.0,f,f
5,3,4,4,2000,1.0,f,f
4,4,3,5,2000,1.0,f,f
3,5,2,6,2000,1.0,f,f
2,6,1,7,2000,1.0,b,b
1,7,0,8,2000,1.0,b,b
8,0,7,1,2000,1.25,f,f
7,1,6,2,2000,1.25,f,f
6,2,5,3,2000,1.25,f,f
5,3,4,4,2000,1.25,f,f
4,4,3,5,2000,1.25,f,f
3,5,2,6,2000,1.25,f,f
2,6,1,7,2000,1.25,f,f
1,7,0,8,2000,1.25,b,b
8,0,7,1,2000,1.5,f,f
7,1,6,2,2000,1.5,f,f
6,2,5,3,2000,1.5,f,f
5,3,4,4,2000,1.5,f,f
4,4,3,5,2000,1.5,b,b
3,5,2,6,2000,1.5,f,f
2,6,1,7,2000,1.5,f,f
1,7,0,8,2000,1.5,b,b
8,0,7,1,2000,1.75,f,f
7,1,6,2,2000,1.75,f,f
6,2,5,3,2000,1.75,f,f
5,3,4,4,2000,1.75,f,f
4,4,3,5,2000,1.75,f,f
3,5,2,6,2000,1.75,f,f
2,6,1,7,2000,1.75,b,b
1,7,0,8,2000,1.75,f,f
8,0,7,1,2000,2.0,f,f
7,1,6,2,2000,2.0,f,f
6,2,5,3,2000,2.0,f,f
5,3,4,4,2000,2.0,f,f
4,4,3,5,2000,2.0,b,f
3,5,2,6,2000,2.0,b,f
2,6,1,7,2000,2.0,b,f
1,7,0,8,2000,2.0,b,f
8,0,7,1,2000,2.25,f,f
7,1,6,2,2000,2.25,f,f
6,2,5,3,2000,2.25,f,f
5,3,4,4,2000,2.25,f,f
4,4,3,5,2000,2.25,f,f
3,5,2,6,2000,2.25,f,f
2,6,1,7,2000,2.25,b,f
1,7,0,8,2000,2.25,f,f
8,0,7,1,2000,2.5,f,f
7,1,6,2,2000,2.5,f,f
6,2,5,3,2000,2.5,f,f
5,3,4,4,2000,2.5,f,f
4,4,3,5,2000,2.5,f,f
3,5,2,6,2000,2.5,f,f
2,6,1,7,2000,2.5,b,b
1,7,0,8,2000,2.5,b,f
8,0,7,1,2000,2.75,f,f
7,1,6,2,2000,2.75,f,f
6,2,5,3,2000,2.75,f,f
5,3,4,4,2000,2.75,f,f
4,4,3,5,2000,2.75,f,f
3,5,2,6,2000,2.75,f,f
2,6,1,7,2000,2.75,b,b
1,7,0,8,2000,2.75,f,f
8,0,7,1,2000,3.0,f,f
7,1,6,2,2000,3.0,b,b
6,2,5,3,2000,3.0,f,f
5,3,4,4,2000,3.0,f,f
4,4,3,5,2000,3.0,f,f
3,5,2,6,2000,3.0,b,f
2,6,1,7,2000,3.0,f,f
1,7,0,8,2000,3.0,f,f
