WE1,WF1,WE2,WF2,impressions,demand_factor,direction_400,direction_800
6,0,5,1,2000,0.25,f,f
5,1,4,2,2000,0.25,f,f
4,2,3,3,2000,0.25,f,f
3,3,2,4,2000,0.25,f,f
2,4,1,5,2000,0.25,b,b
1,5,0,6,2000,0.25,b,b
6,0,5,1,2000,0.5,f,f
5,1,4,2,2000,0.5,f,f
4,2,3,3,2000,0.5,f,f
3,3,2,4,2000,0.5,f,f
2,4,1,5,2000,0.5,b,b
1,5,0,6,2000,0.5,b,b
6,0,5,1,2000,0.75,f,f
5,1,4,2,2000,0.75,f,f
4,2,3,3,2000,0.75,f,f
3,3,2,4,2000,0.75,f,f
2,4,1,5,2000,0.75,b,b
1,5,0,6,2000,0.75,b,b
6,0,5,1,2000,1.0,f,f
5,1,4,2,2000,1.0,f,f
4,2,3,3,2000,1.0,f,f
3,3,2,4,2000,1.0,f,f
2,4,1,5,2000,1.0,f,b
1,5,0,6,2000,1.0,b,b
6,0,5,1,2000,1.25,f,f
5,1,4,2,2000,1.25,f,f
4,2,3,3,2000,1.25,f,f
3,3,2,4,2000,1.25,f,f
2,4,1,5,2000,1.25,f,f
1,5,0,6,2000,1.25,f,f
6,0,5,1,2000,1.5,f,f
5,1,4,2,2000,1.5,f,f
4,2,3,3,2000,1.5,f,f
3,3,2,4,2000,1.5,f,f
2,4,1,5,2000,1.5,f,f
1,5,0,6,2000,1.5,f,f
6,0,5,1,2000,1.75,f,f
5,1,4,2,2000,1.75,f,f
4,2,3,3,2000,1.75,f,f
3,3,2,4,2000,1.75,f,f
2,4,1,5,2000,1.75,f,f
1,5,0,6,2000,1.75,f,f
6,0,5,1,2000,2.0,f,f
5,1,4,2,2000,2.0,f,f
4,2,3,3,2000,2.0,f,f
3,3,2,4,2000,2.0,f,f
2,4,1,5,2000,2.0,f,f
1,5,0,6,2000,2.0,f,f
6,0,5,1,2000,2.25,f,f
5,1,4,2,2000,2.25,f,f
4,2,3,3,2000,2.25,f,f
3,3,2,4,2000,2.25,f,f
2,4,1,5,2000,2.25,f,f
1,5,0,6,2000,2.25,f,f
6,0,5,1,2000,2.5,f,f
5,1,4,2,2000,2.5,f,f
4,2,3,3,2000,2.5,f,f
3,3,2,4,2000,2.5,f,f
2,4,1,5,2000,2.5,f,f
1,5,0,6,2000,2.5,f,f
6,0,5,1,2000,2.75,f,f
5,1,4,2,2000,2.75,f,f
4,2,3,3,2000,2.75,f,f
3,3,2,4,2000,2.75,f,f
2,4,1,5,2000,2.75,f,f
1,5,0,6,2000,2.75,f,f
6,0,5,1,2000,3.0,f,f
5,1,4,2,2000,3.0,f,f
4,2,3,3,2000,3.0,f,f
3,3,2,4,2000,3.0,f,f
2,4,1,5,2000,3.0,f,f
1,5,0,6,2000,3.0,f,f
