reserve,impressions,demand_factor,WE,WF,revenue_mean
0,2000,0.25,4,4,2.9378501987663856
1,2000,0.25,4,4,4.665141347208492
2,2000,0.25,5,3,6.6545983919905485
3,2000,0.25,5,3,7.974806488452955
4,2000,0.25,4,4,8.42262077141404
5,2000,0.25,4,4,9.350411406914588
6,2000,0.25,3,5,10.138839966271991
7,2000,0.25,2,6,10.778280179645957
8,2000,0.25,2,6,11.184974895646203
9,2000,0.25,0,8,11.592312250845053
10,2000,0.25,0,8,11.306110071739395
11,2000,0.25,0,8,11.555450836357975
12,2000,0.25,1,7,12.008256030347885
13,2000,0.25,1,7,11.830647152421156
14,2000,0.25,2,6,12.226374340060511
15,2000,0.25,0,8,12.340579458720345
16,2000,0.25,2,6,12.378503470001993
17,2000,0.25,1,7,12.517752421531545
18,2000,0.25,0,8,12.333214568448133
19,2000,0.25,1,7,12.24992498863836
20,2000,0.25,0,8,12.64013619982928
21,2000,0.25,0,8,12.588246084170532
22,2000,0.25,0,8,12.869932061094378
23,2000,0.25,0,8,12.486814584509153
24,2000,0.25,0,8,12.86000203700782
25,2000,0.25,0,8,12.46948567802619
26,2000,0.25,0,8,12.612729508040927
27,2000,0.25,0,8,12.904056442567096
28,2000,0.25,0,8,12.841278527433785
29,2000,0.25,0,8,12.77173175537669
30,2000,0.25,0,8,12.725457272196484
31,2000,0.25,0,8,12.804196591561242
32,2000,0.25,0,8,12.691089397302393
33,2000,0.25,0,8,12.765556614737074
34,2000,0.25,0,8,12.976688354039785
35,2000,0.25,0,8,12.577788950853527
36,2000,0.25,0,8,12.639638309409087
37,2000,0.25,0,8,12.960952606292972
38,2000,0.25,0,8,12.601883427389323
39,2000,0.25,0,8,12.9074034367185
40,2000,0.25,0,8,12.523870616131385
41,2000,0.25,0,8,12.743071362449305
42,2000,0.25,0,8,12.734296386302647
43,2000,0.25,0,8,12.883187818676527
44,2000,0.25,0,8,12.628724862711643
45,2000,0.25,0,8,12.767037928737274
46,2000,0.25,0,8,12.761840273639278
47,2000,0.25,0,8,12.971377914416456
48,2000,0.25,0,8,12.516702959540615
49,2000,0.25,0,8,12.86639508747701
50,2000,0.25,0,8,12.938052117982402
51,2000,0.25,0,8,12.549993902148257
52,2000,0.25,0,8,12.650356211588027
53,2000,0.25,0,8,12.503070230857151
54,2000,0.25,0,8,12.745278124401686
55,2000,0.25,0,8,12.189996205966755
56,2000,0.25,0,8,12.965560507349908
57,2000,0.25,0,8,12.739012412135494
58,2000,0.25,0,8,12.685634201019898
59,2000,0.25,0,8,12.94021206366785
60,2000,0.25,0,8,12.949504103940107
61,2000,0.25,0,8,12.415787516571871
62,2000,0.25,0,8,12.466240469689565
63,2000,0.25,0,8,12.646289703470226
64,2000,0.25,0,8,12.561268529124698
65,2000,0.25,0,8,12.780888953887727
66,2000,0.25,0,8,12.547537593222165
67,2000,0.25,0,8,12.666399500691869
68,2000,0.25,0,8,12.767815245204249
69,2000,0.25,0,8,12.961861907869695
70,2000,0.25,0,8,12.731246764421645
71,2000,0.25,0,8,13.217724451376526
72,2000,0.25,0,8,12.52997505910217
73,2000,0.25,0,8,12.759304864738429
74,2000,0.25,0,8,12.517136766938195
75,2000,0.25,0,8,12.70660512056771
76,2000,0.25,0,8,12.620873778570141
77,2000,0.25,0,8,12.610936679138362
78,2000,0.25,0,8,12.367184313661955
79,2000,0.25,0,8,12.540230304711312
80,2000,0.25,0,8,12.496994243426142
81,2000,0.25,0,8,12.422074352043099
82,2000,0.25,0,8,12.35785841674124
83,2000,0.25,0,8,11.970954953484853
